taxon	sequenceID	serotype	genotype	major_lineage	minor_lineage	minor_sublineage	combined	combined-with-id	isolate	country	collection_year
alignment/AL_UNC_DENV3_YALE/member/fasta-refseqs-yale-denv3/GU131861.1_2007	GU131861.1_2007	3	3III	3III_C	3III_C.2	3III_C.2.2	3/3III/3III_C/3III_C.2/3III_C.2.2	GU131861.1_2007/3/3III/3III_C/3III_C.2	-	-	-
alignment/AL_UNC_DENV3_YALE/member/fasta-refseqs-yale-denv3/GU131870.1_2007	GU131870.1_2007	3	3III	3III_C	3III_C.2	3III_C.2.2	3/3III/3III_C/3III_C.2/3III_C.2.2	GU131870.1_2007/3/3III/3III_C/3III_C.2	-	-	-
alignment/AL_UNC_DENV3_YALE/member/fasta-refseqs-yale-denv3/GU131872.1_2007	GU131872.1_2007	3	3III	3III_C	3III_C.2	3III_C.2.2	3/3III/3III_C/3III_C.2/3III_C.2.2	GU131872.1_2007/3/3III/3III_C/3III_C.2	-	-	-
alignment/AL_UNC_DENV3_YALE/member/fasta-refseqs-yale-denv3/GU131876.1_2007	GU131876.1_2007	3	3III	3III_C	3III_C.2	3III_C.2.2	3/3III/3III_C/3III_C.2/3III_C.2.2	GU131876.1_2007/3/3III/3III_C/3III_C.2	-	-	-
alignment/AL_UNC_DENV3_YALE/member/fasta-refseqs-yale-denv3/GU131903.1_2008	GU131903.1_2008	3	3II	3II_A	3II_A.2	-	3/3II/3II_A/3II_A.2/-	GU131903.1_2008/3/3II/3II_A/3II_A.2	-	-	-
alignment/AL_UNC_DENV3_YALE/member/fasta-refseqs-yale-denv3/HM181972.1_2009	HM181972.1_2009	3	3III	3III_C	3III_C.2	3III_C.2.1	3/3III/3III_C/3III_C.2/3III_C.2.1	HM181972.1_2009/3/3III/3III_C/3III_C.2	-	-	-
alignment/AL_UNC_DENV3_YALE/member/fasta-refseqs-yale-denv3/HM631854.1_2008	HM631854.1_2008	3	3II	3II_A	3II_A.2	-	3/3II/3II_A/3II_A.2/-	HM631854.1_2008/3/3II/3II_A/3II_A.2	-	-	-
alignment/AL_UNC_DENV3_YALE/member/fasta-refseqs-yale-denv3/HM631856.1_2009	HM631856.1_2009	3	3III	3III_C	3III_C.2	3III_C.2.1	3/3III/3III_C/3III_C.2/3III_C.2.1	HM631856.1_2009/3/3III/3III_C/3III_C.2	-	-	-
alignment/AL_UNC_DENV3_YALE/member/fasta-refseqs-yale-denv3/JF295012.1_2007	JF295012.1_2007	3	3II	3II_A	3II_A.2	-	3/3II/3II_A/3II_A.2/-	JF295012.1_2007/3/3II/3II_A/3II_A.2	-	-	-
alignment/AL_UNC_DENV3_YALE/member/fasta-refseqs-yale-denv3/JF920394.1_2009	JF920394.1_2009	3	3III	3III_C	3III_C.2	3III_C.2.1	3/3III/3III_C/3III_C.2/3III_C.2.1	JF920394.1_2009/3/3III/3III_C/3III_C.2	-	-	-
alignment/AL_UNC_DENV3_YALE/member/fasta-refseqs-yale-denv3/JQ920480.1_1996-09-04	JQ920480.1_1996-09-04	3	3I	3I_B	-	-	3/3I/3I_B/-/-	JQ920480.1_1996-09-04/3/3I/3I_B/-	-	-	-
alignment/AL_UNC_DENV3_YALE/member/fasta-refseqs-yale-denv3/JQ920485.1_1996-10-21	JQ920485.1_1996-10-21	3	3I	3I_B	-	-	3/3I/3I_B/-/-	JQ920485.1_1996-10-21/3/3I/3I_B/-	-	-	-
alignment/AL_UNC_DENV3_YALE/member/fasta-refseqs-yale-denv3/JQ922554.1_1963	JQ922554.1_1963	3	3V	-	-	-	3/3V/-/-/-	JQ922554.1_1963/3/3V/-/-	-	-	-
alignment/AL_UNC_DENV3_YALE/member/fasta-refseqs-yale-denv3/JQ922557.1_2005	JQ922557.1_2005	3	3III	3III_B	3III_B.1	-	3/3III/3III_B/3III_B.1/-	JQ922557.1_2005/3/3III/3III_B/3III_B.1	-	-	-
alignment/AL_UNC_DENV3_YALE/member/fasta-refseqs-yale-denv3/JX669491.1_2002	JX669491.1_2002	3	3III	3III_C	3III_C.2	3III_C.2.2	3/3III/3III_C/3III_C.2/3III_C.2.2	JX669491.1_2002/3/3III/3III_C/3III_C.2	-	-	-
alignment/AL_UNC_DENV3_YALE/member/fasta-refseqs-yale-denv3/KF955467.1_2000	KF955467.1_2000	3	3III	3III_C	3III_C.1	-	3/3III/3III_C/3III_C.1/-	KF955467.1_2000/3/3III/3III_C/3III_C.1	-	-	-
alignment/AL_UNC_DENV3_YALE/member/fasta-refseqs-yale-denv3/KF955476.1_1983	KF955476.1_1983	3	3II	-	-	-	3/3II/-/-/-	KF955476.1_1983/3/3II/-/-	-	-	-
alignment/AL_UNC_DENV3_YALE/member/fasta-refseqs-yale-denv3/KF955506.1_2007	KF955506.1_2007	3	3II	3II_A	3II_A.2	-	3/3II/3II_A/3II_A.2/-	KF955506.1_2007/3/3II/3II_A/3II_A.2	-	-	-
alignment/AL_UNC_DENV3_YALE/member/fasta-refseqs-yale-denv3/KF971702.1_2009	KF971702.1_2009	3	3III	3III_C	3III_C.2	3III_C.2.1	3/3III/3III_C/3III_C.2/3III_C.2.1	KF971702.1_2009/3/3III/3III_C/3III_C.2	-	-	-
alignment/AL_UNC_DENV3_YALE/member/fasta-refseqs-yale-denv3/KJ830751.1_2014-01-26	KJ830751.1_2014-01-26	3	3III	3III_A	3III_A.2	-	3/3III/3III_A/3III_A.2/-	KJ830751.1_2014-01-26/3/3III/3III_A/3III_A.2	-	-	-
alignment/AL_UNC_DENV3_YALE/member/fasta-refseqs-yale-denv3/KM190937.1_1964	KM190937.1_1964	3	3V	-	-	-	3/3V/-/-/-	KM190937.1_1964/3/3V/-/-	-	-	-
alignment/AL_UNC_DENV3_YALE/member/fasta-refseqs-yale-denv3/KT424097.1_2014-08-28	KT424097.1_2014-08-28	3	3II	3II_B	-	-	3/3II/3II_B/-/-	KT424097.1_2014-08-28/3/3II/3II_B/-	-	-	-
alignment/AL_UNC_DENV3_YALE/member/fasta-refseqs-yale-denv3/KU050695.1_1956	KU050695.1_1956	3	3I	-	-	-	3/3I/-/-/-	KU050695.1_1956/3/3I/-/-	-	-	-
alignment/AL_UNC_DENV3_YALE/member/fasta-refseqs-yale-denv3/KU509279.1_2008	KU509279.1_2008	3	3I	3I_C	-	-	3/3I/3I_C/-/-	KU509279.1_2008/3/3I/3I_C/-	-	-	-
alignment/AL_UNC_DENV3_YALE/member/fasta-refseqs-yale-denv3/KU509280.1_2011	KU509280.1_2011	3	3II	3II_A	3II_A.5	-	3/3II/3II_A/3II_A.5/-	KU509280.1_2011/3/3II/3II_A/3II_A.5	-	-	-
alignment/AL_UNC_DENV3_YALE/member/fasta-refseqs-yale-denv3/KU509282.1_2009	KU509282.1_2009	3	3III	3III_B	3III_B.2	-	3/3III/3III_B/3III_B.2/-	KU509282.1_2009/3/3III/3III_B/3III_B.2	-	-	-
alignment/AL_UNC_DENV3_YALE/member/fasta-refseqs-yale-denv3/KU509283.1_2006	KU509283.1_2006	3	3III	3III_A	3III_A.1	-	3/3III/3III_A/3III_A.1/-	KU509283.1_2006/3/3III/3III_A/3III_A.1	-	-	-
alignment/AL_UNC_DENV3_YALE/member/fasta-refseqs-yale-denv3/KY586702.1_2008	KY586702.1_2008	3	3II	3II_A	3II_A.3	-	3/3II/3II_A/3II_A.3/-	KY586702.1_2008/3/3II/3II_A/3II_A.3	-	-	-
alignment/AL_UNC_DENV3_YALE/member/fasta-refseqs-yale-denv3/KY586704.1_2008	KY586704.1_2008	3	3II	3II_A	3II_A.3	-	3/3II/3II_A/3II_A.3/-	KY586704.1_2008/3/3II/3II_A/3II_A.3	-	-	-
alignment/AL_UNC_DENV3_YALE/member/fasta-refseqs-yale-denv3/KY586706.1_2006	KY586706.1_2006	3	3II	3II_A	3II_A.3	-	3/3II/3II_A/3II_A.3/-	KY586706.1_2006/3/3II/3II_A/3II_A.3	-	-	-
alignment/AL_UNC_DENV3_YALE/member/fasta-refseqs-yale-denv3/KY586721.1_2000	KY586721.1_2000	3	3II	3II_A	3II_A.4	-	3/3II/3II_A/3II_A.4/-	KY586721.1_2000/3/3II/3II_A/3II_A.4	-	-	-
alignment/AL_UNC_DENV3_YALE/member/fasta-refseqs-yale-denv3/KY586724.1_2000	KY586724.1_2000	3	3II	3II_A	3II_A.4	-	3/3II/3II_A/3II_A.4/-	KY586724.1_2000/3/3II/3II_A/3II_A.4	-	-	-
alignment/AL_UNC_DENV3_YALE/member/fasta-refseqs-yale-denv3/KY586754.1_2001	KY586754.1_2001	3	3II	3II_A	-	-	3/3II/3II_A/-/-	KY586754.1_2001/3/3II/3II_A/-	-	-	-
alignment/AL_UNC_DENV3_YALE/member/fasta-refseqs-yale-denv3/KY586777.1_1999	KY586777.1_1999	3	3II	3II_A	3II_A.5	-	3/3II/3II_A/3II_A.5/-	KY586777.1_1999/3/3II/3II_A/3II_A.5	-	-	-
alignment/AL_UNC_DENV3_YALE/member/fasta-refseqs-yale-denv3/KY586787.1_2002	KY586787.1_2002	3	3II	3II_A	-	-	3/3II/3II_A/-/-	KY586787.1_2002/3/3II/3II_A/-	-	-	-
alignment/AL_UNC_DENV3_YALE/member/fasta-refseqs-yale-denv3/KY586818.1_2007	KY586818.1_2007	3	3II	3II_B	-	-	3/3II/3II_B/-/-	KY586818.1_2007/3/3II/3II_B/-	-	-	-
alignment/AL_UNC_DENV3_YALE/member/fasta-refseqs-yale-denv3/LC379197.1_2017-04-15	LC379197.1_2017-04-15	3	3III	3III_B	3III_B.2	-	3/3III/3III_B/3III_B.2/-	LC379197.1_2017-04-15/3/3III/3III_B/3III_B.2	-	-	-
alignment/AL_UNC_DENV3_YALE/member/fasta-refseqs-yale-denv3/LT996904.1_2007	LT996904.1_2007	3	3III	3III_A	3III_A.2	-	3/3III/3III_A/3III_A.2/-	LT996904.1_2007/3/3III/3III_A/3III_A.2	-	-	-
alignment/AL_UNC_DENV3_YALE/member/fasta-refseqs-yale-denv3/MF004386.1_2012-10-04	MF004386.1_2012-10-04	3	3I	3I_A	-	-	3/3I/3I_A/-/-	MF004386.1_2012-10-04/3/3I/3I_A/-	-	-	-
alignment/AL_UNC_DENV3_YALE/member/fasta-refseqs-yale-denv3/MF682966.1_2016-09-07	MF682966.1_2016-09-07	3	3I	3I_A	3I_A.1	3I_A.1.2	3/3I/3I_A/3I_A.1/3I_A.1.2	MF682966.1_2016-09-07/3/3I/3I_A/3I_A.1	-	-	-
alignment/AL_UNC_DENV3_YALE/member/fasta-refseqs-yale-denv3/MF682968.1_2016-09-10	MF682968.1_2016-09-10	3	3I	3I_A	3I_A.1	3I_A.1.2	3/3I/3I_A/3I_A.1/3I_A.1.2	MF682968.1_2016-09-10/3/3I/3I_A/3I_A.1	-	-	-
alignment/AL_UNC_DENV3_YALE/member/fasta-refseqs-yale-denv3/MF682970.1_2016-09-15	MF682970.1_2016-09-15	3	3I	3I_A	3I_A.1	3I_A.1.2	3/3I/3I_A/3I_A.1/3I_A.1.2	MF682970.1_2016-09-15/3/3I/3I_A/3I_A.1	-	-	-
alignment/AL_UNC_DENV3_YALE/member/fasta-refseqs-yale-denv3/MF682971.1_2013-07-22	MF682971.1_2013-07-22	3	3II	3II_B	-	-	3/3II/3II_B/-/-	MF682971.1_2013-07-22/3/3II/3II_B/-	-	-	-
alignment/AL_UNC_DENV3_YALE/member/fasta-refseqs-yale-denv3/MG721059.2_2016	MG721059.2_2016	3	3III	3III_A	3III_A.2	-	3/3III/3III_A/3III_A.2/-	MG721059.2_2016/3/3III/3III_A/3III_A.2	-	-	-
alignment/AL_UNC_DENV3_YALE/member/fasta-refseqs-yale-denv3/MG721064.1_2016	MG721064.1_2016	3	3III	3III_B	3III_B.1	-	3/3III/3III_B/3III_B.1/-	MG721064.1_2016/3/3III/3III_B/3III_B.1	-	-	-
alignment/AL_UNC_DENV3_YALE/member/fasta-refseqs-yale-denv3/MH048677.1_2014-12	MH048677.1_2014-12	3	3III	3III_A	3III_A.2	-	3/3III/3III_A/3III_A.2/-	MH048677.1_2014-12/3/3III/3III_A/3III_A.2	-	-	-
alignment/AL_UNC_DENV3_YALE/member/fasta-refseqs-yale-denv3/MH888333.1_2011-01-01	MH888333.1_2011-01-01	3	3III	3III_C	3III_C.2	3III_C.2.2	3/3III/3III_C/3III_C.2/3III_C.2.2	MH888333.1_2011-01-01/3/3III/3III_C/3III_C.2	-	-	-
alignment/AL_UNC_DENV3_YALE/member/fasta-refseqs-yale-denv3/MK894338.1_2018-02-05	MK894338.1_2018-02-05	3	3I	3I_A	3I_A.1	-	3/3I/3I_A/3I_A.1/-	MK894338.1_2018-02-05/3/3I/3I_A/3I_A.1	-	-	-
alignment/AL_UNC_DENV3_YALE/member/fasta-refseqs-yale-denv3/MK894340.1_2018-10-16	MK894340.1_2018-10-16	3	3III	3III_B	3III_B.3	3III_B.3.1	3/3III/3III_B/3III_B.3/3III_B.3.1	MK894340.1_2018-10-16/3/3III/3III_B/3III_B.3	-	-	-
alignment/AL_UNC_DENV3_YALE/member/fasta-refseqs-yale-denv3/MN018370.1_2015-07-24	MN018370.1_2015-07-24	3	3I	3I_A	-	-	3/3I/3I_A/-/-	MN018370.1_2015-07-24/3/3I/3I_A/-	-	-	-
alignment/AL_UNC_DENV3_YALE/member/fasta-refseqs-yale-denv3/MN018374.1_2015-09-28	MN018374.1_2015-09-28	3	3I	3I_A	-	-	3/3I/3I_A/-/-	MN018374.1_2015-09-28/3/3I/3I_A/-	-	-	-
alignment/AL_UNC_DENV3_YALE/member/fasta-refseqs-yale-denv3/MN018375.1_2015-10-23	MN018375.1_2015-10-23	3	3III	3III_B	3III_B.1	-	3/3III/3III_B/3III_B.1/-	MN018375.1_2015-10-23/3/3III/3III_B/3III_B.1	-	-	-
alignment/AL_UNC_DENV3_YALE/member/fasta-refseqs-yale-denv3/MN018378.1_2015-09-30	MN018378.1_2015-09-30	3	3III	3III_B	3III_B.1	-	3/3III/3III_B/3III_B.1/-	MN018378.1_2015-09-30/3/3III/3III_B/3III_B.1	-	-	-
alignment/AL_UNC_DENV3_YALE/member/fasta-refseqs-yale-denv3/MN018379.1_2015-10-03	MN018379.1_2015-10-03	3	3I	3I_C	-	-	3/3I/3I_C/-/-	MN018379.1_2015-10-03/3/3I/3I_C/-	-	-	-
alignment/AL_UNC_DENV3_YALE/member/fasta-refseqs-yale-denv3/MN018380.1_2015-09-16	MN018380.1_2015-09-16	3	3I	3I_C	-	-	3/3I/3I_C/-/-	MN018380.1_2015-09-16/3/3I/3I_C/-	-	-	-
alignment/AL_UNC_DENV3_YALE/member/fasta-refseqs-yale-denv3/MN018385.1_2016-09-20	MN018385.1_2016-09-20	3	3III	3III_B	3III_B.3	3III_B.3.1	3/3III/3III_B/3III_B.3/3III_B.3.1	MN018385.1_2016-09-20/3/3III/3III_B/3III_B.3	-	-	-
alignment/AL_UNC_DENV3_YALE/member/fasta-refseqs-yale-denv3/MN018389.1_2017-02-15	MN018389.1_2017-02-15	3	3I	3I_C	-	-	3/3I/3I_C/-/-	MN018389.1_2017-02-15/3/3I/3I_C/-	-	-	-
alignment/AL_UNC_DENV3_YALE/member/fasta-refseqs-yale-denv3/MN083246.1_2017-11	MN083246.1_2017-11	3	3I	3I_A	3I_A.1	3I_A.1.1	3/3I/3I_A/3I_A.1/3I_A.1.1	MN083246.1_2017-11/3/3I/3I_A/3I_A.1	-	-	-
alignment/AL_UNC_DENV3_YALE/member/fasta-refseqs-yale-denv3/MN448977.1_2010-05-18	MN448977.1_2010-05-18	3	3II	3II_A	3II_A.5	-	3/3II/3II_A/3II_A.5/-	MN448977.1_2010-05-18/3/3II/3II_A/3II_A.5	-	-	-
alignment/AL_UNC_DENV3_YALE/member/fasta-refseqs-yale-denv3/MN448990.1_2011-12-27	MN448990.1_2011-12-27	3	3II	3II_A	3II_A.5	-	3/3II/3II_A/3II_A.5/-	MN448990.1_2011-12-27/3/3II/3II_A/3II_A.5	-	-	-
alignment/AL_UNC_DENV3_YALE/member/fasta-refseqs-yale-denv3/MN922035.1_2019-06-23	MN922035.1_2019-06-23	3	3I	3I_A	3I_A.2	-	3/3I/3I_A/3I_A.2/-	MN922035.1_2019-06-23/3/3I/3I_A/3I_A.2	-	-	-
alignment/AL_UNC_DENV3_YALE/member/fasta-refseqs-yale-denv3/MN922037.1_2019-08-02	MN922037.1_2019-08-02	3	3I	3I_C	-	-	3/3I/3I_C/-/-	MN922037.1_2019-08-02/3/3I/3I_C/-	-	-	-
alignment/AL_UNC_DENV3_YALE/member/fasta-refseqs-yale-denv3/MN964273.1_2019-11-09	MN964273.1_2019-11-09	3	3III	3III_B	3III_B.2	-	3/3III/3III_B/3III_B.2/-	MN964273.1_2019-11-09/3/3III/3III_B/3III_B.2	-	-	-
alignment/AL_UNC_DENV3_YALE/member/fasta-refseqs-yale-denv3/MT006158.1_2018-06-19	MT006158.1_2018-06-19	3	3I	3I_A	3I_A.1	3I_A.1.1	3/3I/3I_A/3I_A.1/3I_A.1.1	MT006158.1_2018-06-19/3/3I/3I_A/3I_A.1	-	-	-
alignment/AL_UNC_DENV3_YALE/member/fasta-refseqs-yale-denv3/MT261977.1_2017-10-12	MT261977.1_2017-10-12	3	3III	3III_B	3III_B.2	-	3/3III/3III_B/3III_B.2/-	MT261977.1_2017-10-12/3/3III/3III_B/3III_B.2	-	-	-
alignment/AL_UNC_DENV3_YALE/member/fasta-refseqs-yale-denv3/MT921575.1_2016	MT921575.1_2016	3	3I	3I_A	-	-	3/3I/3I_A/-/-	MT921575.1_2016/3/3I/3I_A/-	-	-	-
alignment/AL_UNC_DENV3_YALE/member/fasta-refseqs-yale-denv3/MW192824.1_2017-08	MW192824.1_2017-08	3	3III	3III_B	-	-	3/3III/3III_B/-/-	MW192824.1_2017-08/3/3III/3III_B/-	-	-	-
alignment/AL_UNC_DENV3_YALE/member/fasta-refseqs-yale-denv3/MW288031.1_2018-11	MW288031.1_2018-11	3	3III	3III_B	3III_B.2	-	3/3III/3III_B/3III_B.2/-	MW288031.1_2018-11/3/3III/3III_B/3III_B.2	-	-	-
alignment/AL_UNC_DENV3_YALE/member/fasta-refseqs-yale-denv3/MW295815.1_2020-09-07	MW295815.1_2020-09-07	3	3I	3I_A	3I_A.1	3I_A.1.2	3/3I/3I_A/3I_A.1/3I_A.1.2	MW295815.1_2020-09-07/3/3I/3I_A/3I_A.1	-	-	-
alignment/AL_UNC_DENV3_YALE/member/fasta-refseqs-yale-denv3/MW308181.1_2019-08-22	MW308181.1_2019-08-22	3	3III	3III_C	3III_C.2	3III_C.2.1	3/3III/3III_C/3III_C.2/3III_C.2.1	MW308181.1_2019-08-22/3/3III/3III_C/3III_C.2	-	-	-
alignment/AL_UNC_DENV3_YALE/member/fasta-refseqs-yale-denv3/MW396463.1_2019-07-02	MW396463.1_2019-07-02	3	3I	3I_A	3I_A.2	-	3/3I/3I_A/3I_A.2/-	MW396463.1_2019-07-02/3/3I/3I_A/3I_A.2	-	-	-
alignment/AL_UNC_DENV3_YALE/member/fasta-refseqs-yale-denv3/MW788901.1_2018-08	MW788901.1_2018-08	3	3I	3I_A	3I_A.1	3I_A.1.2	3/3I/3I_A/3I_A.1/3I_A.1.2	MW788901.1_2018-08/3/3I/3I_A/3I_A.1	-	-	-
alignment/AL_UNC_DENV3_YALE/member/fasta-refseqs-yale-denv3/MW946622.1_2006	MW946622.1_2006	3	3II	3II_A	3II_A.3	-	3/3II/3II_A/3II_A.3/-	MW946622.1_2006/3/3II/3II_A/3II_A.3	-	-	-
alignment/AL_UNC_DENV3_YALE/member/fasta-refseqs-yale-denv3/MW946651.1_1997	MW946651.1_1997	3	3II	3II_A	3II_A.4	-	3/3II/3II_A/3II_A.4/-	MW946651.1_1997/3/3II/3II_A/3II_A.4	-	-	-
alignment/AL_UNC_DENV3_YALE/member/fasta-refseqs-yale-denv3/MW946664.1_2011	MW946664.1_2011	3	3II	3II_B	-	-	3/3II/3II_B/-/-	MW946664.1_2011/3/3II/3II_B/-	-	-	-
alignment/AL_UNC_DENV3_YALE/member/fasta-refseqs-yale-denv3/MW946675.1_1994	MW946675.1_1994	3	3II	3II_A	-	-	3/3II/3II_A/-/-	MW946675.1_1994/3/3II/3II_A/-	-	-	-
alignment/AL_UNC_DENV3_YALE/member/fasta-refseqs-yale-denv3/MW946691.1_1992	MW946691.1_1992	3	3I	3I_B	-	-	3/3I/3I_B/-/-	MW946691.1_1992/3/3I/3I_B/-	-	-	-
alignment/AL_UNC_DENV3_YALE/member/fasta-refseqs-yale-denv3/MW946718.1_2001	MW946718.1_2001	3	3II	3II_A	3II_A.4	-	3/3II/3II_A/3II_A.4/-	MW946718.1_2001/3/3II/3II_A/3II_A.4	-	-	-
