sequenceID	designation	serotype	genotype	major_lineage	minor_lineage	minor_sublineage	minor_subsublineage	outgroup
MF033220.1_2014-06	1I_K.2	1	1I	1I_K	1I_K.2	-	-	-
MF033230.1_2015-02	1I_K.3	1	1I	1I_K	1I_K.3	-	-	-
MH048670.1_2014-12	1I_K.2_outgroup	1	1I	1I_K	-	-	-	outgroup
MN018323.1_2016-05-24	1I_K.2	1	1I	1I_K	1I_K.2	-	-	-
MN448635.1_2010-08-03	1I_K.5	1	1I	1I_K	1I_K.5	-	-	-
MN448692.1_2012-10-01	1I_K.5	1	1I	1I_K	1I_K.5	-	-	-
MN556094.1_2019-09-01	1I_K.3	1	1I	1I_K	1I_K.3	-	-	-
MN639766.1_2018-10	1I_K.1	1	1I	1I_K	1I_K.1	-	-	-
MN933654.1_2014-07-24	1I_K.6	1	1I	1I_K	1I_K.6	-	-	-
MN933659.1_2015-04-21	1I_K.6	1	1I	1I_K	1I_K.6	-	-	-
MN933660.1_2016-04-28	1I_K.3	1	1I	1I_K	1I_K.3	-	-	-
MN933665.1_2017-07-31	1I_K.3	1	1I	1I_K	1I_K.3	-	-	-
MW945798.1_1999	1I_K.7_outgroup	1	1I	1I_K	-	-	-	outgroup
MW945860.1_2013	1I_K.6	1	1I	1I_K	1I_K.6	-	-	-
MW946069.1_1999	1I_K_outgroup	1	1I	1I_K	-	-	-	outgroup
MW946128.1_2006	1I_K.6_outgroup	1	1I	1I_K	1I_K.6	-	-	outgroup
MW946221.1_2006	1I_K.7	1	1I	1I_K	1I_K.7	-	-	-
MZ291446.1_2020-08	1I_K.2	1	1I	1I_K	1I_K.2	-	-	-
OM281571.1_2018-12	1I_K.3	1	1I	1I_K	1I_K.3	-	-	-
OM281590.1_2019-12	1I_K.2	1	1I	1I_K	1I_K.2	-	-	-
ON038487.1_2011-06-09	1I_K.6	1	1I	1I_K	1I_K.6	-	-	-
ON038490.1_2012-11-26	1I_K.5	1	1I	1I_K	1I_K.5	-	-	-
ON631278.1_2021	1I_K.2	1	1I	1I_K	1I_K.2	-	-	-
JQ048541.1_2011-09	1I_K.1.1_outgroup	1	1I	1I_K	1I_K.1	1I_K.1.1	-	outgroup
MN923088.1_2019-10-25	1I_K.1.1	1	1I	1I_K	1I_K.1	1I_K.1.1	-	-
OL411495.1_2020-07	1I_K.1.1	1	1I	1I_K	1I_K.1	1I_K.1.1	-	-
OM281593.1_2019-12	1I_K.1.1	1	1I	1I_K	1I_K.1	1I_K.1.1	-	-
OP984871.1_2022-08-12	1I_K.1.1	1	1I	1I_K	1I_K.1	1I_K.1.1	-	-
OQ678061.1_2019-12-17	1I_K.1.1	1	1I	1I_K	1I_K.1	1I_K.1.1	-	-
MK166996.1_2017-11-04	1I_K.1.2	1	1I	1I_K	1I_K.1	1I_K.1.2	-	-
MK166998.1_2017-10-29	1I_K.1.2	1	1I	1I_K	1I_K.1	1I_K.1.2	-	-
MN018298.1_2017-08-21	1I_K.1.2	1	1I	1I_K	1I_K.1	1I_K.1.2	-	-
MN639764.1_2018-10	1I_K.1.2	1	1I	1I_K	1I_K.1	1I_K.1.2	-	-
MN639765.1_2018-10	1I_K.1.2	1	1I	1I_K	1I_K.1	1I_K.1.2	-	-
MN933664.1_2017-08-15	1I_K.1.2	1	1I	1I_K	1I_K.1	1I_K.1.2	-	-
MN933667.1_2018-08-09	1I_K.1.2	1	1I	1I_K	1I_K.1	1I_K.1.2	-	-
MW946238.1_2014	1I_K.1.2	1	1I	1I_K	1I_K.1	1I_K.1.2	-	-
JQ922547.1_1960	1II	1	1II	-	-	-	-	-
MW945844.1_1964	1II	1	1II	-	-	-	-	-
EF457905.1_1972	1III_outgroup	1	1III	-	-	-	-	outgroup
OA01_1973	1III	1	1III	-	-	-	-	-
EU179860.1_2005	1III_A	1	1III	1III_A	-	-	-	-
JF960211.2_2009	1III_A.3_outgroup	1	1III	1III_A	-	-	-	outgroup
JQ922548.1_2005	1III_A	1	1III	1III_A	-	-	-	-
LC436668.1_2017-11	1III_A.1_outgroup	1	1III	1III_A	1III_A.1	-	-	outgroup
MF033212.1_2013-12	1III_A.3	1	1III	1III_A	1III_A.3	-	-	-
MH822959.2_2012	1III_A.4_outgroup	1	1III	1III_A	1III_A.4	-	-	outgroup
MH891771.1_2017-10-22	1III_A.3	1	1III	1III_A	1III_A.3	-	-	-
MK588397.1_2017-04-22	1III_A.3	1	1III	1III_A	1III_A.3	-	-	-
MK858117.2_2016-08-26	1III_A.2_outgroup	1	1III	1III_A	1III_A.2	-	-	outgroup
ON109597.1_2021	1III_A.3	1	1III	1III_A	1III_A.3	-	-	-
ON123650.1_2020	1III_A.3	1	1III	1III_A	1III_A.3	-	-	-
ON123656.1_2019	1III_A.3	1	1III	1III_A	1III_A.3	-	-	-
ON123661.1_2018	1III_A.4	1	1III	1III_A	1III_A.4	-	-	-
ON680908.1_2020-08-24	1III_A.4	1	1III	1III_A	1III_A.4	-	-	-
OP898557.1_2022-04	1III_A.1	1	1III	1III_A	1III_A.1	-	-	-
OP898558.1_2022-10	1III_A	1	1III	1III_A	1III_A.1	-	-	-
OQ061315.1_1997	1III_A_outgroup	1	1III	1III_A	-	-	-	outgroup
OR235532.1_2022-04	1III_A.2	1	1III	1III_A	1III_A.2	-	-	-
OR235645.1_2021-06	1III_A.2	1	1III	1III_A	1III_A.2	-	-	-
OR235733.1_2019-12	1III_A.2	1	1III	1III_A	1III_A.2	-	-	-
OR259174.1_2021-07	1III_A.2	1	1III	1III_A	1III_A.2	-	-	-
OR259175.1_2021-09	1III_A.2	1	1III	1III_A	1III_A.2	-	-	-
OR394016.1_2019-10-30	1III_A.4	1	1III	1III_A	1III_A.4	-	-	-
OR394051.1_2020-01-06	1III_A.4	1	1III	1III_A	1III_A.4	-	-	-
OR936755.1_2023-09-04	1III_A.1	1	1III	1III_A	1III_A.1	-	-	-
OR936761.1_2023-09-13	1III_A.1	1	1III	1III_A	1III_A.1	-	-	-
OR936764.1_2023-09-12	1III_A.1	1	1III	1III_A	1III_A.1	-	-	-
OR936768.1_2023-09-12	1III_A.1	1	1III	1III_A	1III_A.1	-	-	-
PP234949.1_2019-07-01	1III_A.4	1	1III	1III_A	1III_A.4	-	-	-
JQ922545.1_1982	1III_B_outgroup	1	1III	1III_B	-	-	-	outgroup
KJ806950.2_2013	1III_B	1	1III	1III_B	-	-	-	-
KP406801.1_2004	1III_B	1	1III	1III_B	-	-	-	-
KX618705.1_2014	1III_B	1	1III	1III_B	-	-	-	-
KX618706.1_2014	1III_B	1	1III	1III_B	-	-	-	-
MK858130.1_2016-10-25	1III_B	1	1III	1III_B	-	-	-	-
MW582813.1_2019-06-21	1IV	1	1IV	-	-	-	-	-
JN697056.1_2005-01-01	1IV_A	1	1IV	1IV_A	-	-	-	-
JQ915076.1_2009-06-09	1IV_A	1	1IV	1IV_A	-	-	-	-
MH921567.1_2016	1IV_A	1	1IV	1IV_A	-	-	-	-
MW265693.1_2012-04-28	1IV_A	1	1IV	1IV_A	-	-	-	-
OK469341.1_1992	1IV_A	1	1IV	1IV_A	-	-	-	-
OK469342.1_1997	1IV_A_outgroup	1	1IV	-	-	-	-	outgroup
OL321180.1_2016-02-08	1IV_A	1	1IV	1IV_A	-	-	-	-
GQ868602.1_2004	1IV_B.1_outgroup	1	1IV	1IV_B	-	-	-	outgroup
KP406803.1_2006	1IV_B.2_outgroup	1	1IV	1IV_B	1IV_B.1	-	-	outgroup
MF033231.1_2015-03	1IV_B	1	1IV	1IV_B	-	-	-	-
MN018297.1_2017-05-08	1IV_B.1	1	1IV	1IV_B	1IV_B.1	-	-	-
MN923105.1_2019-08-26	1IV_B.1	1	1IV	1IV_B	1IV_B.1	-	-	-
MT832032.1_2013	1IV_B.1	1	1IV	1IV_B	1IV_B.1	-	-	-
MT832033.1_2015	1IV_B.2	1	1IV	1IV_B	1IV_B.2	-	-	-
MT832037.1_2012	1IV_B.2	1	1IV	1IV_B	1IV_B.2	-	-	-
MT832040.1_2012	1IV_B.2	1	1IV	1IV_B	1IV_B.2	-	-	-
MT832048.1_2013	1IV_B.1	1	1IV	1IV_B	1IV_B.1	-	-	-
MW945952.1_1974	1IV_B	1	1IV	1IV_B	-	-	-	-
OK469344.1_1975	1IV_B	1	1IV	1IV_B	-	-	-	-
OM281589.1_2019-12	1IV_B.2	1	1IV	1IV_B	1IV_B.2	-	-	-
OM281599.1_2020-12	1IV_B.1	1	1IV	1IV_B	1IV_B.1	-	-	-
OP895913.1_2017-01	1IV_B.2	1	1IV	1IV_B	1IV_B.2	-	-	-
OQ061266.1_1983	1IV_B_outgroup	1	1IV	1IV_C	-	-	-	outgroup
JN544410.2_2011-04	1IV_C	1	1IV	1IV_C	-	-	-	-
KC762620.1_2007-12-13	1IV_C	1	1IV	1IV_C	-	-	-	-
KC762630.1_2008-02-06	1IV_C	1	1IV	1IV_C	-	-	-	-
KC762651.1_2007-12-11	1IV_C	1	1IV	1IV_C	-	-	-	-
KT827364.1_2002	1IV_C	1	1IV	1IV_C	-	-	-	-
KU509261.1_2010	1IV_C	1	1IV	1IV_C	-	-	-	-
OK605753.1_1983	1IV_C_outgroup	1	1IV	1IV_C	-	-	-	outgroup
KF289073.1_1956	1V	1	1V	-	-	-	-	-
DQ285559.1_2004	1V_A	1	1V	1V_A	-	-	-	-
EU081258.1_2005	1V_A	1	1V	1V_A	-	-	-	-
GQ868601.1_1985	1V_A	1	1V	1V_A	-	-	-	-
JN903578.1_2007-07-26	1V_A	1	1V	1V_A	-	-	-	-
JQ922544.1_1963	1V_A_outgroup	1	1V	-	-	-	-	outgroup
MT929552.1_2018-04-12	1V_A	1	1V	1V_A	-	-	-	-
OQ605987.1_2022-03-31	1V_A	1	1V	1V_A	-	-	-	-
OR389288.1_1985	1IV_A	1	1IV	1IV_A	-	-	-	-
FJ639735.1_1997	1V_B	1	1V	1V_B	-	-	-	-
JN819415.1_2006	1V_B	1	1V	1V_B	-	-	-	-
MT929160.1_2019-10-07	1V_B	1	1V	1V_B	-	-	-	-
MZ008452.1_2014	1V_B	1	1V	1V_B	-	-	-	-
MZ343259.1_2015-11	1V_B	1	1V	1V_B	-	-	-	-
OQ445882.1_2022-08-15	1V_B	1	1V	1V_B	-	-	-	-
GU056032.1_1998	1V_C	1	1V	1V_C	-	-	-	-
KF955424.1_2007	1V_C	1	1V	1V_C	-	-	-	-
KJ189368.1_2012	1V_C	1	1V	1V_C	-	-	-	-
MZ008453.1_2013	1V_C	1	1V	1V_C	-	-	-	-
ON426292.1_2020-01-22	1V_C	1	1V	1V_C	-	-	-	-
OQ821332.1_2016-03-15	1V_C	1	1V	1V_C	-	-	-	-
GQ868570.1_2008	1V_D.1	1	1V	1V_D	1V_D.1	-	-	-
GU131948.1_2001	1V_D.2_outgroup	1	1V	-	-	-	-	outgroup
MN449016.1_2015-04-08	1V_D.1	1	1V	1V_D	1V_D.1	-	-	-
MT899083.1_2019-09-29	1V_D.1	1	1V	1V_D	1V_D.1	-	-	-
ON123596.1_2021-08-20	1V_D.2	1	1V	1V_D	1V_D.2	-	-	-
ON426300.1_2021-03-26	1V_D.2	1	1V	1V_D	1V_D.2	-	-	-
OQ603259.1_2013-06-01	1V_D.1	1	1V	1V_D	1V_D.1	-	-	-
OQ603261.1_2015-10-09	1V_D.1_outgroup	1	1V	1V_D	1V_D.2	-	-	outgroup
OQ821326.1_2020-03-15	1V_D.2	1	1V	1V_D	1V_D.2	-	-	-
OR025607.1_2023-03-29	1V_D.2	1	1V	1V_D	1V_D.2	-	-	-
OR025611.1_2023-04-08	1V_D.2	1	1V	1V_D	1V_D.2	-	-	-
OR654272.1_2023-05-20	1V_D.2	1	1V	1V_D	1V_D.2	-	-	-
ON123574.1_2021-07-07	1V_D.1.1	1	1V	1V_D	1V_D.1	1V_D.1.1	-	-
ON632040.1_2022-04-12	1V_D.1.1	1	1V	1V_D	1V_D.1	1V_D.1.1	-	-
OQ821348.1_2022-08-28	1V_D.1.1	1	1V	1V_D	1V_D.1	1V_D.1.1	-	-
OQ821349.1_2022-09-01	1V_D.1.1	1	1V	1V_D	1V_D.1	1V_D.1.1	-	-
OQ821380.1_2019-10-23	1V_D.1.1_outgroup	1	1V	1V_D	1V_D.1	1V_D.1.1	-	outgroup
OR167130.1_2023-03-03	1V_D.1.1	1	1V	1V_D	1V_D.1	1V_D.1.1	-	-
MN449014.1_2015-04-20	1V_D.1.2	1	1V	1V_D	1V_D.1	1V_D.1.2	-	-
MN556095.1_2017-04	1V_D.1.2	1	1V	1V_D	1V_D.1	1V_D.1.2	-	-
ON123575.1_2021-08-03	1V_D.1.2	1	1V	1V_D	1V_D.1	1V_D.1.2	-	-
ON123586.1_2021-05-07	1V_D.1.2	1	1V	1V_D	1V_D.1	1V_D.1.2	-	-
OQ603260.1_2013-06-18	1V_D.1.2_outgroup	1	1V	1V_D	1V_D.1	1V_D.1.2	-	outgroup
OQ603263.1_2016-06-24	1V_D.1.2	1	1V	1V_D	1V_D.1	1V_D.1.2	-	-
OQ821367.1_2022-12-07	1V_D.1.2	1	1V	1V_D	1V_D.1	1V_D.1.2	-	-
FJ639819.1_2006	1V_E	1	1V	1V_E	-	-	-	-
GU131835.1_2004	1V_E_outgroup	1	1V	-	-	-	-	outgroup
KF672760.1_2011	1V_E.1_outgroup	1	1V	1V_E	1V_E.1	-	-	outgroup
KJ189354.1_2012	1V_E.3	1	1V	1V_E	1V_E.3	-	-	-
KJ189362.1_2010	1V_E.3	1	1V	1V_E	1V_E.3	-	-	-
KJ189363.1_2010	1V_E.3	1	1V	1V_E	1V_E.3	-	-	-
KJ189366.1_2010	1V_E.3	1	1V	1V_E	1V_E.3	-	-	-
KU509249.1_2012	1V_E.3_outgroup	1	1V	1V_E	1V_E.3	-	-	outgroup
KU509252.1_2010	1V_E	1	1V	1V_E	-	-	-	-
MG877553.1_2012	1V_E.2_outgroup	1	1V	1V_E	-	-	-	outgroup
MT862857.1_2019-05-13	1V_E.1	1	1V	1V_E	1V_E.1	-	-	-
MW946053.1_2010	1V_E.4_outgroup	1	1V	1V_E	-	-	-	outgroup
OM833055.1_2020-02-18	1V_E.2	1	1V	1V_E	1V_E.2	-	-	-
OM833058.1_2020-06-27	1V_E.2	1	1V	1V_E	1V_E.2	-	-	-
OM833059.1_2013-07-24	1V_E.3	1	1V	1V_E	1V_E.3	-	-	-
ON632053.1_2022-04-04	1V_E.1	1	1V	1V_E	1V_E.1	-	-	-
ON632121.1_2022-03-17	1V_E.1	1	1V	1V_E	1V_E.1	-	-	-
OQ445884.1_2022-10-01	1V_E.2	1	1V	1V_E	1V_E.2	-	-	-
OQ567778.1_2015-05-13	1V_E.4	1	1V	1V_E	1V_E.4	-	-	-
OQ567781.1_2015-12-18	1V_E.4	1	1V	1V_E	1V_E.4	-	-	-
OQ567786.1_2016-01-29	1V_E.4	1	1V	1V_E	1V_E.4	-	-	-
OQ567790.1_2016-01-24	1V_E.4	1	1V	1V_E	1V_E.4	-	-	-
OQ567798.1_2017-04-26	1V_E.4	1	1V	1V_E	1V_E.4	-	-	-
OQ605977.1_2022-03-15	1V_E.1	1	1V	1V_E	1V_E.1	-	-	-
OQ821340.1_2021-11-16	1V_E.2	1	1V	1V_E	1V_E.2	-	-	-
OQ821377.1_2013-08-29	1V_E.2	1	1V	1V_E	1V_E.2	-	-	-
OR167255.1_2023-03-23	1V_E.1	1	1V	1V_E	1V_E.1	-	-	-
FJ639794.1_2004	1V_F	1	1V	1V_F	-	-	-	-
KC692517.1_2010-12-29	1V_F	1	1V	1V_F	-	-	-	-
KU509254.1_2011	1V_F	1	1V	1V_F	-	-	-	-
KY474306.1_2014	1V_F	1	1V	1V_F	-	-	-	-
MW377899.1_2014-12-10	1V_F	1	1V	1V_F	-	-	-	-
ON632090.1_2022-03-25	1V_F	1	1V	1V_F	-	-	-	-
GQ868564.1_2006	1V_G	1	1V	1V_G	-	-	-	-
GQ868568.1_2007	1V_G	1	1V	1V_G	-	-	-	-
KJ189303.1_1998	1V_G	1	1V	1V_G	-	-	-	-
KJ189304.1_2005	1V_G	1	1V	1V_G	-	-	-	-
OA08_2011	1V_G	1	1V	1V_G	-	-	-	-
OA10_2012	1V_G	1	1V	1V_G	-	-	-	-
AB519681.1_2001	1V_H	1	1V	1V_H	-	-	-	-
FJ850073.1_2001	1V_H	1	1V	1V_H	-	-	-	-
JX669469.1_1997	1V_H	1	1V	1V_H	-	-	-	-
KF672764.1_2001	1V_H	1	1V	1V_H	-	-	-	-
OK605754.1_1997	1V_H	1	1V	1V_H	-	-	-	-
OR389007.1_2000	1V_H	1	1V	1V_H	-	-	-	-
OR389273.1_1986	1V_H_outgroup	1	1V	1V_H	-	-	-	outgroup
EU482567.1_1998	1V_J	1	1V	1V_J	-	-	-	-
FJ205875.1_1995	1V_J	1	1V	1V_J	-	-	-	-
FJ390380.1_1998	1V_J	1	1V	1V_J	-	-	-	-
FJ410184.1_1993	1V_J	1	1V	1V_J	-	-	-	-
KF955437.1_1998	1V_J	1	1V	1V_J	-	-	-	-
